materialSampleID,principalInvestigator,locality,phylum,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferenceProtocol,yearCollected,monthCollected,dayCollected,genus,species,permitInformation,basisOfIdentification,country,lifeStage,sex,geneticTissueType,stateProvince,island,islandGroup,establishmentMeans,habitat,microHabitat,substratum,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,associatedTaxa,wormsID,weight,length,class,order,family,subSpecies,vernacularName,taxonRemarks,sampleOwnerInstitutionCode,fundingSource,occurrenceID,catalogNumber,associatedSequences,recordedBy,identifiedBy,yearIdentified,monthIdentified,dayIdentified,preservative,samplingProtocol,plateID,wellID,extractionID,previousTissueID,tissueStorageID,associatedMedia,associatedReferences,previousIdentifications,occurrenceRemarks,fieldNotes,eventRemarks,bcid
LDH_138,Cynthia Riginos,Lord Howe Island,Chordata,-31.52348,159.070477,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,LDH_138,,KJ779195,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2LDH_138
MTB_21,Cynthia Riginos,Moreton Bay,Chordata,-27.19234,153.253332,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,""" QLD Fisheries: 118636, 150981 """,Morphology,Australia,,,,Queensland,,,,,,,,,,,,277145,,,,,,,,,UQ,,MTB_21,,KJ779266,Liggins,David Harris,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2MTB_21
3368,Cynthia Riginos,Bootless Bay,Chordata,-9.533966667,147.29485,,"""Google Earth, rough area, not 100% sure of reef location""",2011,8,25,Pomacentrus,coelestis,"""PNG visa to Ian McLeod, researcher/academic special exemption (10350006008); Dept Env & Conservation/Nat Research Institute""",Morphology,Papua New Guinea,adult,,,Central Province,,,,,,,,,,,,277145,,,,,,,,,UQ,ARC_DP0878306,3368,,KJ779238,"""Ian McLeod, James Cook University""","""Ian McLeod, James Cook University""",2011,8,25,ETOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,,ark:/21547/qR23368
LIZ_59,Cynthia Riginos,Lizard Island,Chordata,-14.68771,145.489121,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,"""GBRMPA: G10/33597.1, G08/26733.1, G08/28114.1, G09/31678.1, G11/34452.1, G11/34640.1 & QLD Fisheries: 118636, 150981 """,Morphology,Australia,,,,Queensland,,,,,,,,,,,,277145,,,,,,,,,UQ,,LIZ_59,,KJ779893; KJ779114,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2LIZ_59
SRK_10,Cynthia Riginos,Seal Rocks,Chordata,-32.42,152.57,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,SRK_10,,KJ779326,Liggins,David Harris,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2SRK_10
2205,Cynthia Riginos,Ndoke Ndoke island,Chordata,-8.338566667,157.5027,,Handheld GPS,2010,12,11,Pomacentrus,coelestis,The Research Act 1982 (No. 9 of 1982) Research Permit; Solomon Islands Minister for Education and Human Resources Development,Morphology,Solomon Islands,adult,,,Roviana Lagoon,,,,,,,2,2,,,,277145,,,,,,,,,UQ,"""ARC_DP0878306, The Explorers Club Exploration Fund to Liggins""",2205,,KJ779310,Liggins/Keyse,Liggins/Keyse,2010,12,11,DMSO,whole fish,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,photo,ark:/21547/qR22205
1110,Cynthia Riginos,Mooloolaba,Chordata,-26.64805,153.1827,,GPS,2009,7,26,Pomacentrus,coelestis,QLD18636; QLD Dept of Fisheries,Morphology,Australia,adult,,,Brisbane,,,,,,,14,14,,,,277145,,,,,,,,,UQ,ARC_DP0878306,1110,,KJ779908; KJ779224,Treml/Liggins,Treml/Liggins,2009,7,26,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,"""no photo, 5-7cm""",ark:/21547/qR21110
LDH_130,Cynthia Riginos,Lord Howe Island,Chordata,-31.52348,159.070477,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,New South Wales permits to D G Booth and W Figueira: F94/696; F86/556A,Morphology,Australia,,,,New South Wales,,,,,,,,,,,,277145,,,,,,,,,UQ,,LDH_130,,KJ779877; KJ779192,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2LDH_130
LIZ_143,Cynthia Riginos,Lizard Island,Chordata,-14.68771,145.489121,,"""Google Earth, can't be 100% sure of reef location""",,,,Pomacentrus,coelestis,"""GBRMPA: G10/33597.1, G08/26733.1, G08/28114.1, G09/31678.1, G11/34452.1, G11/34640.1 & QLD Fisheries: 118636, 150981 """,Morphology,Australia,,,,Queensland,,,,,,,,,,,,277145,,,,,,,,,UQ,,LIZ_143,,KJ779889; KJ779107,Liggins,David Booth,,,,EtOH,,,,,,,,Liggins et al. in prep.,,,,,ark:/21547/qR2LIZ_143
861,Cynthia Riginos,Ningaloo Marine Park,Chordata,-23.0409,113.8202,,GPS,2009,6,9,Pomacentrus,coelestis,SF006619/CE002227; WA-DEC,Morphology,Australia,adult,,,Western Australia,,,,,,,3.5,3.5,,,,277145,,,,,,,,,UQ,ARC_DP0878306,861,,KJ779118,Treml/Riginos,Treml/Riginos,2009,6,9,DMSO,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,Liggins et al. in prep.,,,,,ark:/21547/qR2861
