#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:test" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:test" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:test" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:test" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:test">
#                    <taxonset id="TaxonSet.test" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:test" name="distribution" x="@popSize.t:test">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@test" id="treeLikelihood.test" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:test">
#            <siteModel id="SiteModel.s:test" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:test" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:test" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:test" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:test" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:test" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:test" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant	
26000	-1038.916991499414	-1086.4652896027749	47.548298103360715	-1086.4652896027749	0.009143000964014799	0.0029938852859790486	41.73711479500573	
27000	-1035.7365451554308	-1088.3421061819272	52.60556102649629	-1088.3421061819272	0.005183037240447782	0.0014031838258149372	46.036549563440786	
28000	-1042.1865053162517	-1086.9787941763045	44.792288860052906	-1086.9787941763045	0.009360207529287594	0.003691214628700957	39.19048915262905	
29000	-1034.3378450338016	-1087.7021000322084	53.36425499840678	-1087.7021000322084	0.005297912873375309	0.0011823467706088954	46.624000971531835	
30000	-1034.5822520480356	-1085.3959475552904	50.81369550725471	-1085.3959475552904	0.008546601620998238	0.0029366129529765543	44.98319708868489	
31000	-1034.6052832000712	-1085.6983269658642	51.09304376579307	-1085.6983269658642	0.006694489782909118	0.0024917097407789386	45.09825760453929	
32000	-1034.7538537235685	-1085.9688680759236	51.215014352355084	-1085.9688680759236	0.00510455867459271	0.0032933268416749074	45.49915732531133	
33000	-1037.1032737967448	-1085.7886793637804	48.68540556703555	-1085.7886793637804	0.007256825958559491	0.0038915268346985444	43.13645187116801	
34000	-1035.73294709127	-1086.1774300494878	50.44448295821786	-1086.1774300494878	0.007707319965492694	0.002666267489894748	44.51740722975312	
35000	-1041.9137411164038	-1087.8887409894717	45.97499987306789	-1087.8887409894717	0.009912225784610748	0.003934939206983538	40.43714002653045	
36000	-1038.2234315304388	-1085.026143130476	46.8027116000372	-1085.026143130476	0.008919440965159465	0.004331876574572633	41.36095715823035	
37000	-1039.8734053572994	-1089.4619558303987	49.58855047309936	-1089.4619558303987	0.005173340960660352	0.0037836161729391474	44.011475405949355	
38000	-1040.9460776556564	-1088.2705013174796	47.324423661823076	-1088.2705013174796	0.00598095828150565	0.003482245975905499	41.66434586382444	
39000	-1037.0997522180764	-1084.961458119023	47.86170590094654	-1084.961458119023	0.011503957901530061	0.003230734783405691	42.1266602204502	
40000	-1039.541802433448	-1086.3143809542712	46.77257852082317	-1086.3143809542712	0.011175761012095907	0.0038186991444452536	41.20473306835991	
41000	-1042.9595420218614	-1087.3684113607383	44.40886933887687	-1087.3684113607383	0.01029170420779565	0.004738497491808127	39.05683416050079	
42000	-1040.0416449048814	-1087.7564040426298	47.71475913774845	-1087.7564040426298	0.00796161686130412	0.002254476182769284	41.61992151328226	
43000	-1044.8022796368975	-1089.6746727292416	44.872393092344026	-1089.6746727292416	0.008257265350313927	0.002939423394391867	39.04285125112108	
44000	-1042.837409865099	-1086.7916337734055	43.95422390830651	-1086.7916337734055	0.01265464197413305	0.002563180499564263	37.98771749933944	
45000	-1035.1181792225063	-1088.8019955588725	53.68381633636609	-1088.8019955588725	0.005243478286813158	0.0015460439119751514	47.21176041075199	
46000	-1040.2608257664365	-1086.8126340007302	46.55180823429363	-1086.8126340007302	0.008071161161687964	0.00456581322986212	41.16264959804068	
47000	-1035.841555247997	-1087.62247716215	51.78092191415324	-1087.62247716215	0.00841499332561259	0.0022643012110060328	45.690432830393085	
48000	-1041.6192134612372	-1086.634416369241	45.01520290800387	-1086.634416369241	0.007852090931082165	0.0029335029485030805	39.183644883519406	
49000	-1039.8525968615852	-1086.8307639014747	46.978167039889414	-1086.8307639014747	0.008285321955200264	0.004035428705161428	41.46552430361774	
50000	-1038.041011106136	-1087.252545877097	49.21153477096088	-1087.252545877097	0.008056017760995024	0.0016221973051689764	42.78756108341151	
51000	-1036.6051410463538	-1086.4574949483513	49.85235390199759	-1086.4574949483513	0.00881522288355609	0.0030044178606347827	44.04468244865335	
52000	-1036.731109783635	-1086.1212978547833	49.39018807114832	-1086.1212978547833	0.006384304255769502	0.003801323927944083	43.81778220031116	
53000	-1038.772603570195	-1086.7436332579837	47.97102968778866	-1086.7436332579837	0.007803709382924613	0.0033864749154775336	42.283063941240194	
54000	-1045.2989087154588	-1087.3090875966345	42.01017888117585	-1087.3090875966345	0.011201832040966322	0.008840210975148683	37.28173434452552	
55000	-1041.9122339239698	-1090.4321974150453	48.51996349107544	-1090.4321974150453	0.007209544491387092	0.003854116167956501	42.961349923809856	
56000	-1042.4676277479768	-1089.8675704151701	47.39994266719324	-1089.8675704151701	0.008865342013776426	0.0043518465106439546	41.962787628448844	
57000	-1042.2620137268482	-1087.5590912102489	45.29707748340077	-1087.5590912102489	0.00838935064337711	0.005009407642946268	40.00063987758424	
58000	-1035.7186981893276	-1085.1646874860505	49.44598929672285	-1085.1646874860505	0.007066534338899693	0.0037167862030176185	43.85109338870843	
59000	-1039.6369163284603	-1086.7826856903037	47.145769361843406	-1086.7826856903037	0.0060103119845660285	0.004462879908743423	41.73380835995534	
60000	-1036.6411844328165	-1087.204932688955	50.56374825613863	-1087.204932688955	0.0064298202885894485	0.001066535522279908	43.72040854287277	
61000	-1037.1545675953976	-1086.1476453258642	48.99307773046669	-1086.1476453258642	0.010799660748356168	0.0038891110464066196	43.44350306022495	
62000	-1035.189072871923	-1085.0258796972728	49.83680682534977	-1085.0258796972728	0.007410915647999637	0.0023856292498419616	43.79851447232095	
63000	-1036.9161225340713	-1085.8439209075646	48.927798373493225	-1085.8439209075646	0.008753676790053278	0.002566021930526506	42.96239990724888	
64000	-1042.9915032008755	-1087.2805128246885	44.289009623813016	-1087.2805128246885	0.007903547325778682	0.006634505770920672	39.27353852165991	
65000	-1041.3189087911144	-1087.6443396106374	46.32543081952296	-1087.6443396106374	0.008617783916447427	0.0049519155447531535	41.01745002100247	
66000	-1039.7738441699407	-1087.8259258963637	48.05208172642303	-1087.8259258963637	0.00784393498955865	0.004742668367888522	42.70092637156469	
67000	-1036.9026606587101	-1089.0312380670773	52.128577408367185	-1089.0312380670773	0.006312436483917532	0.00244339949763488	46.114212435772	
68000	-1041.0250061156312	-1090.179095291984	49.154089176352706	-1090.179095291984	0.004887426206333588	0.0014845675919183175	42.64145744332958	
69000	-1035.5610345410698	-1086.5947812370225	51.033746695952765	-1086.5947812370225	0.006531636465860649	0.002364156155247958	44.98641256985235	
70000	-1038.9754499312694	-1085.4714929612103	46.49604302994096	-1085.4714929612103	0.008109314952060378	0.004920752017897638	41.18174911894898	
71000	-1038.1801246283899	-1089.0145166603954	50.834392032005645	-1089.0145166603954	0.0072902391632379444	0.0028025450394152636	44.95716470001475	
72000	-1033.062989960091	-1087.9271093303655	54.864119370274516	-1087.9271093303655	0.00869029138107446	0.0011891680454284243	48.12961803242771	
73000	-1028.7619457891565	-1086.5965074996407	57.83456171048418	-1086.5965074996407	0.005272433300561362	0.0010609565396136036	50.98597732857355	
74000	-1030.7290635768238	-1086.3957547295927	55.66669115276887	-1086.3957547295927	0.0052336788030946605	0.0013541617469840785	49.06211849977151	
75000	-1035.806350656774	-1086.8076200210362	51.00126936426235	-1086.8076200210362	0.005762108594146748	0.0024030475679285746	44.97025183706483	
76000	-1036.8645677171419	-1085.508329443824	48.6437617266823	-1085.508329443824	0.0066698818412121155	0.0028842778802982433	42.795281014873176	
77000	-1038.6738256282383	-1086.0205076610532	47.3466820328149	-1086.0205076610532	0.009103030878146269	0.003862203468289789	41.7901646211457	
78000	-1036.0981645584006	-1085.2313759783424	49.13321141994168	-1085.2313759783424	0.008000408003860697	0.001437756341890883	42.588539943544596	
79000	-1037.546760147435	-1085.0171916623094	47.470431514874434	-1085.0171916623094	0.007319254600112409	0.005198819172961589	42.211107753569856	
80000	-1039.6434202587823	-1087.3207390521407	47.677318793358275	-1087.3207390521407	0.013243315307052847	0.004399383870803768	42.251028016132544	
81000	-1046.4846226257341	-1090.2281889037313	43.74356627799713	-1090.2281889037313	0.011092803568371792	0.005384943383527888	38.51941779583138	
82000	-1038.8273451178043	-1088.0470235259602	49.21967840815587	-1088.0470235259602	0.004959000578315148	0.0029852079140866594	43.405592526553	
83000	-1035.1550632377237	-1086.5088904118584	51.35382717413463	-1086.5088904118584	0.005669713276308601	0.002459818504791097	45.34615946383479	
84000	-1038.9300300364077	-1085.8429034836342	46.91287344722643	-1085.8429034836342	0.007566155112296493	0.004837623170418986	41.581541687861375	
85000	-1042.5063552382126	-1086.296249567004	43.789894328791334	-1086.296249567004	0.009811124588011089	0.007513872539947962	38.89889003380778	
86000	-1034.4793859120844	-1085.037649191332	50.55826327924783	-1085.037649191332	0.008327437482967933	0.002210408419294269	44.44368530383152	
87000	-1034.4252980173517	-1085.5123996734515	51.08710165609972	-1085.5123996734515	0.007503606994874075	0.0033729567373051825	45.3951361069379	
88000	-1036.18127516494	-1085.2562280257207	49.07495286078066	-1085.2562280257207	0.007605480726450811	0.0023810004469057345	43.03471833699989	
89000	-1042.3014867682652	-1087.2825568563237	44.981070088058445	-1087.2825568563237	0.009217467249661241	0.004530991312657515	39.58425555744707	
90000	-1035.200534698538	-1088.501643439293	53.301108740755154	-1088.501643439293	0.006303472089012374	0.0019019072231799444	47.03621064614706	
91000	-1038.26002268504	-1086.820375796828	48.560353111788146	-1086.820375796828	0.008169439346556798	0.0030751019073193006	42.77593587410699	
92000	-1037.5570301749933	-1085.4412902288188	47.88426005382559	-1085.4412902288188	0.008680571965064852	0.0027024435108692684	41.97066114261016	
93000	-1040.2662613902803	-1086.6602647192383	46.39400332895799	-1086.6602647192383	0.007957991881224686	0.004140034807533365	40.90695224539449	
94000	-1034.8373360835765	-1086.3039413527058	51.46660526912928	-1086.3039413527058	0.005777411933077929	0.0027721904888439843	45.57848778803295	
95000	-1035.2360422036961	-1084.808129224822	49.57208702112605	-1084.808129224822	0.008140266979979521	0.0022951033449808587	43.49510961513533	
96000	-1034.5746674232648	-1087.4099221607921	52.83525473752734	-1087.4099221607921	0.005110064289972484	0.0013008660157910028	46.190529667215706	
97000	-1038.2978270038686	-1085.3694063982493	47.07157939438076	-1085.3694063982493	0.008045204321126232	0.0046913307273913985	41.7095403947947	
98000	-1035.9008135280692	-1089.0819716122828	53.18115808421371	-1089.0819716122828	0.004724967836210145	0.001664029033783696	46.782644595665694	
99000	-1036.6726735742513	-1087.8821965720585	51.209522997807284	-1087.8821965720585	0.00514268335138691	0.0024083477496856984	45.18070865016628	
100000	-1037.7141094884012	-1087.1537326288521	49.43962314045102	-1087.1537326288521	0.006752284045366757	0.003941752749320798	43.90349334609145	
101000	-1034.3722917307316	-1085.5634095189237	51.19111778819214	-1085.5634095189237	0.005545060417336633	0.0014988327512074785	44.688049148528265	
102000	-1041.1516206468461	-1089.8834382466325	48.73181759978634	-1089.8834382466325	0.009260697836589811	0.0028518868405587065	42.872043145345636	
103000	-1037.9781630756008	-1087.6247888956564	49.64662582005548	-1087.6247888956564	0.0045627274966169515	0.00413083380691311	44.15734981796292	
104000	-1037.7762623435335	-1085.3022541903363	47.52599184680281	-1085.3022541903363	0.009997733727935875	0.0037978471145264105	41.95267092519475	
105000	-1045.3595341191117	-1087.5871666117523	42.22763249264066	-1087.5871666117523	0.00897856068243112	0.008206616728590212	37.42481796066609	
106000	-1044.4039655250358	-1088.3670095952082	43.96304407017248	-1088.3670095952082	0.006138777439758371	0.006251304440528161	38.88807894364616	
107000	-1040.835804861315	-1089.0823697734534	48.246564912138446	-1089.0823697734534	0.004260533911006379	0.001696277108919308	41.86724554687237	
108000	-1040.6803414865947	-1088.4123750160893	47.732033529494636	-1088.4123750160893	0.007436120105454595	0.003633701585787534	42.114530099830006	
109000	-1035.5158911842861	-1084.8443065432302	49.32841535894414	-1084.8443065432302	0.006907976357801046	0.0018983739228679427	43.06165776963326	
110000	-1040.96031024988	-1090.1862442616539	49.22593401177389	-1090.1862442616539	0.008010261376286775	0.0032438260836744467	43.49493225591677	
111000	-1037.5315842314617	-1085.1912530437876	47.659668812325926	-1085.1912530437876	0.011858330357201772	0.0046870679752895675	42.29672075512128	
112000	-1040.9283844619326	-1089.7048887534486	48.776504291515906	-1089.7048887534486	0.005424678456634863	0.002668822517599995	42.85038638303058	
113000	-1041.4503374149926	-1088.3288965870802	46.878559172087485	-1088.3288965870802	0.010393657947157811	0.0031002614090890465	41.10229032655385	
114000	-1036.7687008731236	-1087.3605527179984	50.59185184487485	-1087.3605527179984	0.0059566456987472875	0.0018712549287093188	44.310705856553746	
115000	-1045.3555093862772	-1088.5522873230575	43.196777936780364	-1088.5522873230575	0.013171404420053741	0.006743212868616411	38.197559155881756	
116000	-1043.0481465537748	-1087.6875358477655	44.63938929399066	-1087.6875358477655	0.010234993665663017	0.007345328969877724	39.725698611906104	
117000	-1035.6768344095485	-1085.006390333066	49.329555923517646	-1085.006390333066	0.007858468408792828	0.003071630386029352	43.54400913553452	
118000	-1036.1256370570802	-1089.6033865674463	53.477749510366145	-1089.6033865674463	0.004362648902334668	0.002563259966793816	47.511274104286976	
119000	-1037.522018910698	-1085.367517713864	47.845498803165796	-1085.367517713864	0.007507547648561403	0.0028078252110590703	41.97015376163598	
120000	-1041.020972136821	-1089.7091604907828	48.68818835396189	-1089.7091604907828	0.004540085588124106	0.004488646148691624	43.28198420536197	
121000	-1043.4465176690594	-1090.0335018353169	46.58698416625755	-1090.0335018353169	0.005202402962402633	0.005006426852319854	41.28995134479207	
122000	-1035.9930456341033	-1085.4116195945412	49.41857396043803	-1085.4116195945412	0.009346267329450906	0.002462128462859887	43.41184488611032	
123000	-1052.0786771443736	-1091.4478899311875	39.36921278681387	-1091.4478899311875	0.011918597699136158	0.006997248612317768	34.406974524237356	
124000	-1046.8968866693665	-1089.4265004215335	42.52961375216709	-1089.4265004215335	0.012447569617283024	0.004298535780103341	37.080132921640605	
125000	-1040.8213987521426	-1087.275824743543	46.45442599140028	-1087.275824743543	0.008487067425521907	0.004103626777443172	40.958541874982394	
126000	-1040.5625737686066	-1086.747837271046	46.18526350243939	-1086.747837271046	0.009247524531579539	0.0025151226836427148	40.199829806591666	
127000	-1036.3393109630777	-1086.6085572032262	50.2692462401485	-1086.6085572032262	0.008110207877153261	0.002888918614323461	44.42237321137219	
128000	-1041.4876565706081	-1089.522296785093	48.03464021448495	-1089.522296785093	0.005292633512955098	0.005853638691763091	42.89394840197761	
129000	-1035.09410366975	-1084.448457115621	49.35435344587116	-1084.448457115621	0.01008659521188796	0.0032712198707341537	43.631761131386824	
130000	-1037.490290904629	-1086.3747286672071	48.884437762578024	-1086.3747286672071	0.0056586351609974024	0.002240531948873076	42.78339579844508	
131000	-1041.6369123443328	-1086.9344958404736	45.297583496140774	-1086.9344958404736	0.01021088776615614	0.004000612954269283	39.77627580510602	
132000	-1043.2521645204708	-1088.7638493078987	45.51168478742774	-1088.7638493078987	0.007696146677962562	0.003932451053414031	39.97319241763415	
133000	-1045.431493124649	-1089.7724554426475	44.34096231799841	-1089.7724554426475	0.017658494059749244	0.004663575167059627	38.97298939623555	
134000	-1040.492282980987	-1086.9406382585148	46.44835527752781	-1086.9406382585148	0.0078858165806675	0.0031662750977679544	40.69315584750192	
135000	-1042.420185800911	-1088.0118371975377	45.591651396626794	-1088.0118371975377	0.008973854913714741	0.005063945340514285	40.30604200869097	
136000	-1042.739467038314	-1090.1038955518554	47.364428513541505	-1090.1038955518554	0.006256727999176906	0.0014926281214561559	40.857211640681356	
137000	-1032.7050883534519	-1086.824377348145	54.119288994692994	-1086.824377348145	0.005303923516369977	0.0010631340367492342	47.27275490001837	
138000	-1042.9265483563772	-1089.44660300257	46.52005464619281	-1089.44660300257	0.008433126447629233	0.005082329293610272	41.238069046076035	
139000	-1034.371048565203	-1084.4935460597849	50.122497494581886	-1084.4935460597849	0.008626126339101746	0.0020232307470799365	43.91943782910974	
140000	-1043.0786581356952	-1087.6757433166936	44.59708518099852	-1087.6757433166936	0.01350697372931652	0.0038274581651833767	39.03153082044322	
141000	-1031.551596284007	-1086.235291717514	54.6836954335069	-1086.235291717514	0.004949199417737352	0.0013796699090537106	48.09778442874398	
142000	-1039.9214438547788	-1086.8476966665062	46.92625281172752	-1086.8476966665062	0.012511847555292072	0.0035869183740355943	41.29579097498297	
143000	-1037.3297504530037	-1084.7596890427033	47.42993858969961	-1084.7596890427033	0.007237192586157654	0.005738769917711251	42.269428198033104	
144000	-1043.4926904502995	-1088.9146623958497	45.42197194555019	-1088.9146623958497	0.011752224510808039	0.005665750951350036	40.248656112077406	
145000	-1035.3741983511072	-1084.3588986813188	48.98470033021162	-1084.3588986813188	0.010138998126097946	0.0033592124464893137	43.288651606804954	
146000	-1040.1971159270856	-1085.8338348431364	45.63671891605077	-1085.8338348431364	0.009273211163769151	0.004048553215331502	40.12732322358262	
147000	-1036.4546561967172	-1085.8519555417856	49.39729934506841	-1085.8519555417856	0.00685283468582465	0.003775867135020804	43.81817412705046	
148000	-1035.6631166800719	-1085.6696817902005	50.00656511012849	-1085.6696817902005	0.009423612551553115	0.0031627728321679703	44.25025895252011	
149000	-1042.2232753939766	-1087.7738521851484	45.55057679117188	-1087.7738521851484	0.010274984901533772	0.007458686108165077	40.65220078598275	
150000	-1045.2634945393897	-1089.7923527813036	44.52885824191393	-1089.7923527813036	0.01177265487321038	0.005572593278006174	39.338963488056784	
151000	-1039.63212561423	-1088.0126666704195	48.38054105618944	-1088.0126666704195	0.00486199336087438	0.004263920014449673	42.92297470555759	
152000	-1037.6373859967227	-1088.2975473685315	50.660161371808684	-1088.2975473685315	0.004880337322241479	0.0031938840608029904	44.91364384290074	
153000	-1039.3566643726401	-1088.4091145257619	49.052450153121725	-1088.4091145257619	0.005113627125487594	0.002932553163365503	43.22056830454565	
154000	-1041.0305588743245	-1087.4791528393835	46.448593965059	-1087.4791528393835	0.007774585555786762	0.0033803451030471944	40.75881649185304	
155000	-1037.7973153382777	-1085.1475098661913	47.350194527913516	-1085.1475098661913	0.007252076383339413	0.0019924147928050092	41.13178661573686	
156000	-1039.5398257623665	-1086.5325282226797	46.99270246031319	-1086.5325282226797	0.008301596723351833	0.003767231841013556	41.4112876534122	
157000	-1043.2016341939361	-1088.5825907283775	45.38095653444141	-1088.5825907283775	0.010528176156279368	0.002259647074134781	39.28840989466167	
158000	-1036.522452715309	-1086.4355376411922	49.91308492588322	-1086.4355376411922	0.00584442965660287	0.0030532682353629804	44.12154221639576	
159000	-1039.102046099292	-1085.9635467824742	46.86150068318213	-1085.9635467824742	0.00813953803955299	0.0024331341760669475	40.84292561488476	
160000	-1035.6100869158088	-1086.7025719001344	51.09248498432572	-1086.7025719001344	0.005798481686398067	0.0022893275541299007	45.012987835302994	
161000	-1035.9511146339137	-1085.7830685712418	49.831953937327974	-1085.7830685712418	0.005407171774857433	0.004810354999939895	44.49496954430139	
162000	-1034.7107752614095	-1085.9270727631292	51.216297501719644	-1085.9270727631292	0.005023580062376945	0.0033101606164924616	45.50553893556928	
163000	-1036.031493514869	-1085.6108400230592	49.5793465081901	-1085.6108400230592	0.006260256243691506	0.002434041848790056	43.56114441704786	
