,pop,Continent,Ocean,NMDS
178,Kominat,Asia,Pacific,2
179,Kominat,Asia,Pacific,2
180,Kominat,Asia,Pacific,2
181,Kominat,Asia,Pacific,2
182,Lautem,Coral Triangle,Pacific,2
183,Lautem,Coral Triangle,Pacific,2
184,Lautem,Coral Triangle,Pacific,2
185,Lautem,Coral Triangle,Pacific,2
186,Lautem,Coral Triangle,Pacific,2
187,Lautem,Coral Triangle,Pacific,2
188,Lihou,Australia,Pacific,3
189,Lihou,Australia,Pacific,3
190,Lihou,Australia,Pacific,3
191,Lihou,Australia,Pacific,3
192,Lihou,Australia,Pacific,3
193,Lihou,Australia,Pacific,3
194,Lihou,Australia,Pacific,3
195,Lihou,Australia,Pacific,3
196,Lihou,Australia,Pacific,3
197,Lihou,Australia,Pacific,3
198,Lihou,Australia,Pacific,3
199,Luhuito,Asia,Pacific,2
200,Luhuito,Asia,Pacific,2
201,Luhuito,Asia,Pacific,2
202,Luhuito,Asia,Pacific,2
203,Luhuito,Asia,Pacific,2
204,Luhuito,Asia,Pacific,2
205,Luhuito,Asia,Pacific,2
206,Luhuito,Asia,Pacific,2
207,Luhuito,Asia,Pacific,2
208,Luhuito,Asia,Pacific,2
209,Luhuito,Asia,Pacific,2
210,Luhuito,Asia,Pacific,2
211,Luhuito,Asia,Pacific,2
212,Male,Coral Triangle,Pacific,3
213,Male,Coral Triangle,Pacific,3
214,Male,Coral Triangle,Pacific,3
215,Male,Coral Triangle,Pacific,3
216,Male,Coral Triangle,Pacific,3
217,Male,Coral Triangle,Pacific,3
218,Male,Coral Triangle,Pacific,3
219,Male,Coral Triangle,Pacific,3
220,Moolool,Australia,Pacific,3
221,Moolool,Australia,Pacific,3
222,Moolool,Australia,Pacific,3
223,Moolool,Australia,Pacific,3
224,Moolool,Australia,Pacific,3
225,Moolool,Australia,Pacific,3
226,Moolool,Australia,Pacific,3
227,Moolool,Australia,Pacific,3
228,Moolool,Australia,Pacific,3
229,Moolool,Australia,Pacific,3
230,Moolool,Australia,Pacific,3
231,Moolool,Australia,Pacific,3
232,Moolool,Australia,Pacific,3
233,Moolool,Australia,Pacific,3
234,Moolool,Australia,Pacific,3
235,Nakanos,Asia,Pacific,2
236,Nakanos,Asia,Pacific,2
237,Nakanos,Asia,Pacific,2
238,Nakanos,Asia,Pacific,2
239,Nakanos,Asia,Pacific,2
240,Nakanos,Asia,Pacific,2
241,Nakanos,Asia,Pacific,2
242,Nakanos,Asia,Pacific,2
243,Nakanos,Asia,Pacific,2
244,Nakanos,Asia,Pacific,2
245,Nakanos,Asia,Pacific,2
246,Nakanos,Asia,Pacific,2
247,Nakanos,Asia,Pacific,2
248,Nakanos,Asia,Pacific,2
249,Nakanos,Asia,Pacific,2
250,Nakanos,Asia,Pacific,2
251,Ndoke,Coral Triangle,Pacific,3
252,Ndoke,Coral Triangle,Pacific,3
253,Ndoke,Coral Triangle,Pacific,3
254,Ndoke,Coral Triangle,Pacific,3
255,Ndoke,Coral Triangle,Pacific,3
256,Ndoke,Coral Triangle,Pacific,3
257,Ndoke,Coral Triangle,Pacific,3
258,Ningalo,Australia,Indian,3
259,Ningalo,Australia,Indian,3
260,Ningalo,Australia,Indian,3
261,Ningalo,Australia,Indian,3
262,Ningalo,Australia,Indian,3
263,Ningalo,Australia,Indian,3
264,Ningalo,Australia,Indian,3
265,Ningalo,Australia,Indian,3
266,Ningalo,Australia,Indian,3
267,Ningalo,Australia,Indian,3
268,Ningalo,Australia,Indian,3
269,Ningalo,Australia,Indian,3
270,Ningalo,Australia,Indian,3
271,Ningalo,Australia,Indian,3
272,Ningalo,Australia,Indian,3
